date, pm25, pm10, no2, co
2017/2/11, 89, 50, 35, 
2017/2/12, 119, , 30, 
2017/2/14, 127, 43, 38, 
2017/2/15, 99, 52, 43, 
2017/2/16, 134, 55, 52, 
2017/2/17, 91, 35, 40, 
2017/2/18, 85, 70, 28, 
2017/2/19, 159, 65, 32, 
2017/2/20, 154, 59, 37, 
2017/2/21, 147, 54, 46, 
2017/2/22, 129, 69, 44, 
2017/2/23, 112, 58, 47, 
2017/2/24, 152, 64, 49, 
2017/2/25, 157, 31, 38, 
2017/2/26, 70, 40, 47, 
2017/2/27, 95, 44, 47, 
2017/2/28, 97, 44, 40, 
2017/3/1, 104, 21, 52, 
2017/3/2, 55, 35, 44, 
2017/3/3, 72, 50, 39, 
2017/3/4, 104, 32, 26, 
2017/3/5, 78, 14, 26, 
2017/3/7, 68, 10, 42, 
2017/3/8, 25, 18, 56, 
2017/3/9, 38, 41, 64, 
2017/3/10, 59, , 58, 
2017/3/13, 42, 31, , 
2017/3/14, 59, 53, , 
2017/3/15, 109, 64, 48, 
2017/3/16, 151, 78, 60, 
2017/3/17, 162, 76, 58, 
2017/3/18, 163, 31, 27, 
2017/3/19, 68, 42, 28, 
2017/3/20, 85, 64, 39, 
2017/3/21, 153, 71, 37, 
2017/3/22, 158, 55, 26, 
2017/3/23, 124, 45, 36, 
2017/3/24, 102, 32, 34, 
2017/3/25, 68, 48, 28, 
2017/3/26, 122, 18, 19, 
2017/3/27, 65, 29, 33, 
2017/3/28, 69, 40, 48, 
2017/3/29, 84, 42, 55, 
2017/3/30, 78, 37, 55, 
2017/3/31, 79, 43, 46, 
2017/4/1, 96, 30, 36, 
2016/10/2, 53, 25, 42, 
2016/10/3, 68, 21, 43, 
2016/10/4, 42, 22, 44, 
2016/10/5, 38, 30, 44, 
2016/10/6, 59, 19, 36, 
2016/10/7, 50, 36, 48, 
2016/10/8, 78, 36, 38, 
2016/10/9, 80, 14, 22, 
2016/10/10, 42, 9, 37, 
2016/10/11, 30, 19, 37, 
2016/10/12, 42, 27, 53, 
2016/10/13, 76, 27, 39, 
2016/10/14, 70, 11, 37, 
2016/10/15, 25, 18, 27, 
2016/10/16, 55, 21, 37, 
2016/10/17, 53, 43, 50, 
2016/10/18, 93, 45, 40, 
2016/10/19, 97, 42, 33, 
2016/10/20, 95, 39, 33, 
